train,val
"[0.44295652301944033, 0.26428413938502876, 0.2304782923691127, 0.2196986159803916, 0.2154723947145501, 0.2139078611317946, 0.21289052981503157, 0.21280759466545923, 0.21296291707121595, 0.21272959271255804]","[0.2979740121147849, 0.2363819737326015, 0.21799557317386975, 0.21103635430335999, 0.20818697187033566, 0.20693149891766635, 0.20641749826344577, 0.20616801624948328, 0.20606849952177567, 0.20602143759077246]"
"[0.21268378487046885, 0.21272477477180715, 0.2125849535270613, 0.21254579586033917, 0.21265280368376752, 0.21238816742386138, 0.21236575896642645, 0.21219127579611174, 0.21225762245606403, 0.2123319523370996]","[0.20599603517488999, 0.20599279349500482, 0.20598450303077698, 0.20598219335079193, 0.20597505975853314, 0.20598336241462015, 0.20599005032669415, 0.20599253475666046, 0.20598423887382855, 0.20598606223409827]"
"[0.2122679210591073, 0.21267029202106047, 0.21227644672807383, 0.21195806608516343, 0.21160349417097715, 0.2114998724083511, 0.210987567141348, 0.20974231039991184, 0.20886849703229204, 0.20789611712098122]","[0.20601870119571686, 0.20603844387964768, 0.20607759329405698, 0.206114416772669, 0.20628092234784906, 0.20652607760646127, 0.2069799859415401, 0.20755606212399222, 0.20809415931051428, 0.20843039453029633]"
"[0.2078371165054185, 0.20721821289281456, 0.20669722344194139, 0.2061391758675478, 0.20609160375838376, 0.20596180536917277, 0.20563908879246032, 0.2054439124708273, 0.20524072342989397, 0.20516442811610747]","[0.20856414328921924, 0.20990427109328183, 0.2100906561721455, 0.21003009243444962, 0.2105711508880962, 0.2106706283309243, 0.21120798181403766, 0.21173974194309927, 0.21095989509062332, 0.2116577300158414]"
"[0.20588649155534045, 0.2055233824922114, 0.2053761877575699, 0.20526926158642284, 0.20517134423158606, 0.20522512024154468, 0.20465769664365419, 0.2044111511537007, 0.20435457448570096, 0.20415218486165515]","[0.21182359890504318, 0.21184705739671533, 0.2115598348054019, 0.2115203467282382, 0.21162297779863531, 0.21213321658697995, 0.21244453435594385, 0.21210213818333365, 0.21278763901103626, 0.21231169592250476]"
"[0.20537079870700836, 0.20461882514004803, 0.20429538935422897, 0.20397264677651075, 0.20393473107595833, 0.2038393431172079, 0.20374102403922956, 0.20375062145140707, 0.20380035438099686, 0.20358300026582213]","[0.21256752854043787, 0.21262019195339896, 0.2125018686056137, 0.21261519464579495, 0.21301843496886166, 0.21384788914160294, 0.21363408863544464, 0.21330314739183945, 0.2136513658545234, 0.213699533180757]"
"[0.20425380857623354, 0.20373647918506543, 0.2036903242067415, 0.20389455115916777, 0.2034877873196894, 0.20318888614372332, 0.2032714452670545, 0.20300624169865433, 0.20316717393544256, 0.20285200129966346]","[0.21298866922205145, 0.21371513334187595, 0.21354067054661838, 0.21389080313119022, 0.21343538842417978, 0.21377144753932953, 0.214478384364735, 0.21405364031141455, 0.2138902721079913, 0.21389410847967322]"
"[0.20348713379733416, 0.20324180898617725, 0.2034473111282806, 0.20297667437366076, 0.20328579630170548, 0.20285588442062846, 0.2027089454385699, 0.20269428619316646, 0.20233474732661733, 0.20295563933192468]","[0.21371503174304962, 0.21363642811775208, 0.2137803394686092, 0.21384390240365808, 0.2148082418875261, 0.21486179801550778, 0.21450553021647714, 0.21439892866394736, 0.2153921059586785, 0.21467010270465503]"
"[0.2030667277167038, 0.2030410029146136, 0.20268886673207187, 0.20260894800327262, 0.202614748888478, 0.2023767830461872, 0.2026117772472148, 0.2023462990717012, 0.20193414283650263, 0.20209775591383175]","[0.2139501002701846, 0.2141429917378859, 0.21447896551002155, 0.215200812979178, 0.21434754946015097, 0.2147841385819695, 0.21530654349110342, 0.21493964303623547, 0.2147871350700205, 0.21488774771040137]"
"[0.20266228184408072, 0.2024689058260042, 0.2023597686570518, 0.20221681862461324, 0.20189394360902357, 0.20223777132983112, 0.2019866451012845, 0.20197175762483052, 0.20173703088444106, 0.20158515095102544]","[0.2147400284355337, 0.21538945084268396, 0.21498292007229544, 0.21482423760674216, 0.21478343280878934, 0.21498625657775186, 0.2149714150212028, 0.2154196473685178, 0.2153891690752723, 0.2159106799147346]"
"[0.20238788730027724, 0.20189059495317693, 0.20200276975424922, 0.20193441090535144, 0.20166469912747947, 0.20158783680930428, 0.20167013561847258, 0.20167480181066358, 0.20144500431357598, 0.20151232882421843]","[0.2154043899341063, 0.21531790630383926, 0.21513308720155197, 0.215667415748943, 0.21529595689340073, 0.21570303629745136, 0.21520212021741, 0.21529942615465683, 0.21628207510167902, 0.21522255512801083]"
"[0.20225723376687693, 0.20183486065694264, 0.20163379297876843, 0.20141639332382047, 0.20187340661579248, 0.20130842946925942, 0.20138358385587224, 0.20115572107689722, 0.20131422837778012, 0.20098067029398314]","[0.215283217755231, 0.2154432779008692, 0.2155355458909815, 0.21543608741326767, 0.2156200571493669, 0.21577580815011804, 0.21592436053536154, 0.21602352505380457, 0.21536532179875809, 0.2159332646565004]"
"[0.20170748461874163, 0.20171674667876593, 0.2012132284592609, 0.20143644268415412, 0.20127303183686976, 0.20086373441985675, 0.20120883216055072, 0.20100070095183897, 0.20112350583076477, 0.20103566333347436]","[0.21551722965457223, 0.21615328978408466, 0.21573806621811606, 0.21570982580835169, 0.21592358161102643, 0.21560505709864877, 0.2162159031087702, 0.21690469438379462, 0.2164281742139296, 0.2159815471280705]"
"[0.2014710237177051, 0.20147363385375666, 0.20104756890511027, 0.20075095680599309, 0.2011353315747514, 0.2010013635973541, 0.20086570160121334, 0.20055873311904013, 0.2009794997925661, 0.20065190886356393]","[0.21556073427200317, 0.21585781330412085, 0.21563587947325272, 0.21585848250172354, 0.21619220755316995, 0.21590764278715308, 0.21573157743974167, 0.21606281941587274, 0.21614358506419443, 0.21584089371291074]"
"[0.20154729896053977, 0.20103559833096, 0.20096654627396135, 0.20092802722843325, 0.2006892581679383, 0.20069207889693125, 0.2004769033923441, 0.20073117650285058, 0.20039350341777412, 0.20047623223187971]","[0.2155648415738886, 0.21601518311283804, 0.21586206961761822, 0.21606077660213818, 0.21593865887685257, 0.21590352193875748, 0.21613835340196436, 0.21607440168207342, 0.21591744910586963, 0.21580464325167917]"
"[0.2014057099515078, 0.20084639501814938, 0.20076195469924382, 0.2007065605448217, 0.20052314975431987, 0.2003716647016759, 0.2007000441758, 0.20060734557253973, 0.200364352641057, 0.20035413895942727]","[0.21634464914148505, 0.2164738882671703, 0.2161199233748696, 0.2168602780862288, 0.2162009057673541, 0.21604317020286212, 0.21600499207323248, 0.2164213318716396, 0.21603608266873794, 0.21652616424994034]"
"[0.2010706174282395, 0.20062370339826663, 0.20055611431598663, 0.200846472412956, 0.20038517397277208, 0.20047113976004172, 0.20017463622652754, 0.20035463906064324, 0.20001244180056513, 0.20029164668248625]","[0.21621319516138596, 0.21625361930240283, 0.2162760929627852, 0.21628645062446594, 0.2167162841016596, 0.21705757487903943, 0.21604226258668033, 0.21660555763678116, 0.21624282544309442, 0.21624920043078336]"
"[0.20106410356808682, 0.20047900491223045, 0.2004737413051177, 0.20027533051918964, 0.2004087686690749, 0.20021518487103132, 0.20004316799494684, 0.20018961417431735, 0.20005899591713536, 0.19986527968122034]","[0.21581353653560986, 0.21657682142474435, 0.21620939536528153, 0.21669426424936813, 0.21736593544483185, 0.21588396213271402, 0.2161777994849465, 0.21608155423944647, 0.2164609662511132, 0.21723750233650208]"
"[0.20070369967392512, 0.20033709682068046, 0.20045685023069382, 0.20020171072410078, 0.2001080379954406, 0.2001961401226569, 0.19984757816609072, 0.20008399687251266, 0.20007638131477395, 0.20011601612275962]","[0.21631563928994266, 0.21683933518149637, 0.21655353090979837, 0.21634123542092062, 0.2170009274374355, 0.21740176190029492, 0.21690335869789124, 0.21751039949330417, 0.2173297811638225, 0.2166780260476199]"
"[0.20089162315945236, 0.20036864029813786, 0.20041083688942754, 0.20028106655393327, 0.20023204089731586, 0.19995624191906988, 0.19988319125710702, 0.19965814859891423, 0.19981361895191427, 0.19952583442233046]","[0.2163343998518857, 0.21603662859309802, 0.2165288572961634, 0.21686052734201605, 0.2167090502652255, 0.21681740202687003, 0.21691812710328537, 0.21725538102063266, 0.21667359227483923, 0.21663028543645685]"
"[0.20092210979485997, 0.20050352644555422, 0.20005874928771233, 0.2000537026597529, 0.19989262498459037, 0.19994734851073245, 0.19991101955576818, 0.20007978699037007, 0.19988424361360316, 0.20010588371327945]","[0.2165352539582686, 0.21725424853238193, 0.2169074768369848, 0.21685467660427094, 0.21684584427963605, 0.21655926650220697, 0.21619573100046677, 0.21736208417198874, 0.2170828567309813, 0.21697564016688953]"
"[0.2006073067991101, 0.20038041700513995, 0.20021302686357983, 0.19996264462872426, 0.2000468715417142, 0.19976696767369095, 0.19974518947455347, 0.1998810065644128, 0.1998304666153022, 0.19962743738172006]","[0.2165311168540608, 0.21695859865708786, 0.21685607595877213, 0.2168036618015983, 0.2172636796127666, 0.2166324948722666, 0.21699427339163693, 0.21702226996421814, 0.21638418598608536, 0.21743851087310098]"
"[0.2007959885712789, 0.20024578577401686, 0.19993865695230814, 0.19988257985334007, 0.199699659736789, 0.19959317117321249, 0.19989364426963183, 0.1995858280938499, 0.1998269492570235, 0.19977715824331557]","[0.21651822464032608, 0.21672275391491977, 0.21680437976663763, 0.21703090450980447, 0.21681992167776282, 0.2171283716505224, 0.21655184572393243, 0.2173456292260777, 0.21746420589360324, 0.21692503853277725]"
